ORI_ZONE,DST_ZONE,hour,day,date,count,probability
0.0,0.0,14,6,2017-10-22,2,2.7550865785957323e-05
0.0,0.0,15,0,2017-09-11,1,1.3775432892978662e-05
0.0,0.0,15,0,2017-09-18,2,2.7550865785957323e-05
0.0,0.0,15,0,2017-09-25,1,1.3775432892978662e-05
0.0,0.0,15,0,2017-10-02,2,2.7550865785957323e-05
0.0,0.0,15,0,2017-10-09,1,1.3775432892978662e-05
0.0,0.0,15,0,2017-10-23,1,1.3775432892978662e-05
0.0,0.0,15,1,2017-09-12,1,1.3775432892978662e-05
0.0,0.0,15,1,2017-09-19,6,8.265259735787197e-05
0.0,0.0,15,1,2017-09-26,1,1.3775432892978662e-05
0.0,0.0,15,1,2017-10-03,2,2.7550865785957323e-05
0.0,0.0,15,1,2017-10-10,1,1.3775432892978662e-05
