ORI_ZONE,DST_ZONE,hour,day,date,count,probability
0.0,0.0,9,1,2017-10-17,2,2.209798245420193e-05
0.0,0.0,9,1,2017-10-24,2,2.209798245420193e-05
0.0,0.0,9,2,2017-09-06,4,4.419596490840386e-05
0.0,0.0,9,2,2017-09-13,1,1.1048991227100966e-05
0.0,0.0,9,2,2017-09-20,6,6.62939473626058e-05
0.0,0.0,9,2,2017-09-27,4,4.419596490840386e-05
0.0,0.0,9,2,2017-10-04,2,2.209798245420193e-05
0.0,0.0,9,2,2017-10-11,10,0.00011048991227100966
0.0,0.0,9,2,2017-10-18,8,8.839192981680772e-05
0.0,0.0,9,2,2017-10-25,3,3.31469736813029e-05
0.0,0.0,9,3,2017-09-07,8,8.839192981680772e-05
0.0,0.0,9,3,2017-09-14,5,5.524495613550483e-05
0.0,0.0,9,3,2017-09-21,1,1.1048991227100966e-05
0.0,0.0,9,3,2017-10-05,3,3.31469736813029e-05
0.0,0.0,9,3,2017-10-12,3,3.31469736813029e-05
0.0,0.0,9,3,2017-10-19,5,5.524495613550483e-05
0.0,0.0,9,3,2017-10-26,6,6.62939473626058e-05
0.0,0.0,9,4,2017-09-01,2,2.209798245420193e-05
0.0,0.0,9,4,2017-09-08,3,3.31469736813029e-05
0.0,0.0,9,4,2017-09-15,1,1.1048991227100966e-05
0.0,0.0,9,4,2017-09-22,3,3.31469736813029e-05
0.0,0.0,9,4,2017-09-29,1,1.1048991227100966e-05
0.0,0.0,9,4,2017-10-06,7,7.734293858970676e-05
0.0,0.0,9,4,2017-10-13,4,4.419596490840386e-05
0.0,0.0,9,4,2017-10-20,4,4.419596490840386e-05
0.0,0.0,9,5,2017-09-09,1,1.1048991227100966e-05
0.0,0.0,9,5,2017-09-16,4,4.419596490840386e-05
0.0,0.0,9,5,2017-09-23,3,3.31469736813029e-05
0.0,0.0,9,5,2017-10-07,3,3.31469736813029e-05
0.0,0.0,9,5,2017-10-14,2,2.209798245420193e-05
0.0,0.0,9,5,2017-10-21,8,8.839192981680772e-05
0.0,0.0,9,5,2017-10-28,4,4.419596490840386e-05
0.0,0.0,9,6,2017-09-10,1,1.1048991227100966e-05
0.0,0.0,9,6,2017-09-24,1,1.1048991227100966e-05
0.0,0.0,9,6,2017-10-08,1,1.1048991227100966e-05
0.0,0.0,9,6,2017-10-29,3,3.31469736813029e-05
0.0,0.0,10,0,2017-09-11,4,4.419596490840386e-05
0.0,0.0,10,0,2017-09-18,12,0.0001325878947252116
0.0,0.0,10,0,2017-09-25,6,6.62939473626058e-05
0.0,0.0,10,0,2017-10-09,2,2.209798245420193e-05
0.0,0.0,10,0,2017-10-16,4,4.419596490840386e-05
0.0,0.0,10,0,2017-10-23,5,5.524495613550483e-05
0.0,0.0,10,0,2017-10-30,4,4.419596490840386e-05
0.0,0.0,10,1,2017-09-05,1,1.1048991227100966e-05
0.0,0.0,10,1,2017-09-12,5,5.524495613550483e-05
0.0,0.0,10,1,2017-09-19,10,0.00011048991227100966
0.0,0.0,10,1,2017-09-26,5,5.524495613550483e-05
0.0,0.0,10,1,2017-10-03,3,3.31469736813029e-05
0.0,0.0,10,1,2017-10-10,4,4.419596490840386e-05
0.0,0.0,10,1,2017-10-17,3,3.31469736813029e-05
0.0,0.0,10,1,2017-10-24,11,0.00012153890349811062
0.0,0.0,10,2,2017-09-06,3,3.31469736813029e-05
0.0,0.0,10,2,2017-09-13,6,6.62939473626058e-05
0.0,0.0,10,2,2017-09-20,4,4.419596490840386e-05
0.0,0.0,10,2,2017-09-27,6,6.62939473626058e-05
0.0,0.0,10,2,2017-10-04,3,3.31469736813029e-05
0.0,0.0,10,2,2017-10-11,7,7.734293858970676e-05
0.0,0.0,10,2,2017-10-18,10,0.00011048991227100966
0.0,0.0,10,2,2017-10-25,10,0.00011048991227100966
0.0,0.0,10,3,2017-09-07,6,6.62939473626058e-05
0.0,0.0,10,3,2017-09-14,6,6.62939473626058e-05
0.0,0.0,10,3,2017-09-21,3,3.31469736813029e-05
0.0,0.0,10,3,2017-09-28,1,1.1048991227100966e-05
0.0,0.0,10,3,2017-10-05,13,0.00014363688595231256
0.0,0.0,10,3,2017-10-12,6,6.62939473626058e-05
0.0,0.0,10,3,2017-10-19,8,8.839192981680772e-05
0.0,0.0,10,3,2017-10-26,6,6.62939473626058e-05
0.0,0.0,10,4,2017-09-01,10,0.00011048991227100966
0.0,0.0,10,4,2017-09-08,7,7.734293858970676e-05
0.0,0.0,10,4,2017-09-15,6,6.62939473626058e-05
0.0,0.0,10,4,2017-09-22,5,5.524495613550483e-05
0.0,0.0,10,4,2017-09-29,12,0.0001325878947252116
0.0,0.0,10,4,2017-10-06,6,6.62939473626058e-05
0.0,0.0,10,4,2017-10-13,9,9.944092104390869e-05
0.0,0.0,10,4,2017-10-20,7,7.734293858970676e-05
0.0,0.0,10,4,2017-10-27,2,2.209798245420193e-05
0.0,0.0,10,5,2017-09-09,3,3.31469736813029e-05
0.0,0.0,10,5,2017-09-16,4,4.419596490840386e-05
0.0,0.0,10,5,2017-09-23,5,5.524495613550483e-05
0.0,0.0,10,5,2017-09-30,3,3.31469736813029e-05
0.0,0.0,10,5,2017-10-07,5,5.524495613550483e-05
0.0,0.0,10,5,2017-10-14,3,3.31469736813029e-05
0.0,0.0,10,5,2017-10-21,11,0.00012153890349811062
0.0,0.0,10,5,2017-10-28,4,4.419596490840386e-05
0.0,0.0,10,6,2017-09-10,3,3.31469736813029e-05
0.0,0.0,10,6,2017-09-17,3,3.31469736813029e-05
0.0,0.0,10,6,2017-10-01,2,2.209798245420193e-05
0.0,0.0,10,6,2017-10-08,2,2.209798245420193e-05
0.0,0.0,10,6,2017-10-22,3,3.31469736813029e-05
0.0,0.0,10,6,2017-10-29,1,1.1048991227100966e-05
0.0,0.0,11,0,2017-09-11,8,8.839192981680772e-05
0.0,0.0,11,0,2017-09-18,4,4.419596490840386e-05
0.0,0.0,11,0,2017-09-25,8,8.839192981680772e-05
0.0,0.0,11,0,2017-10-09,7,7.734293858970676e-05
0.0,0.0,11,0,2017-10-16,6,6.62939473626058e-05
0.0,0.0,11,0,2017-10-23,8,8.839192981680772e-05
0.0,0.0,11,0,2017-10-30,6,6.62939473626058e-05
0.0,0.0,11,1,2017-09-05,2,2.209798245420193e-05
0.0,0.0,11,1,2017-09-12,8,8.839192981680772e-05
0.0,0.0,11,1,2017-09-19,1,1.1048991227100966e-05
0.0,0.0,11,1,2017-09-26,6,6.62939473626058e-05
0.0,0.0,11,1,2017-10-03,8,8.839192981680772e-05
0.0,0.0,11,1,2017-10-10,6,6.62939473626058e-05
0.0,0.0,11,1,2017-10-17,10,0.00011048991227100966
0.0,0.0,11,1,2017-10-24,4,4.419596490840386e-05
0.0,0.0,11,1,2017-10-31,5,5.524495613550483e-05
0.0,0.0,11,2,2017-09-06,7,7.734293858970676e-05
0.0,0.0,11,2,2017-09-13,8,8.839192981680772e-05
0.0,0.0,11,2,2017-09-20,7,7.734293858970676e-05
0.0,0.0,11,2,2017-09-27,5,5.524495613550483e-05
0.0,0.0,11,2,2017-10-04,8,8.839192981680772e-05
0.0,0.0,11,2,2017-10-11,8,8.839192981680772e-05
0.0,0.0,11,2,2017-10-18,11,0.00012153890349811062
0.0,0.0,11,2,2017-10-25,8,8.839192981680772e-05
0.0,0.0,11,3,2017-09-07,8,8.839192981680772e-05
0.0,0.0,11,3,2017-09-14,7,7.734293858970676e-05
0.0,0.0,11,3,2017-09-21,6,6.62939473626058e-05
0.0,0.0,11,3,2017-09-28,10,0.00011048991227100966
0.0,0.0,11,3,2017-10-05,3,3.31469736813029e-05
0.0,0.0,11,3,2017-10-12,6,6.62939473626058e-05
0.0,0.0,11,3,2017-10-19,8,8.839192981680772e-05
0.0,0.0,11,3,2017-10-26,7,7.734293858970676e-05
0.0,0.0,11,4,2017-09-01,6,6.62939473626058e-05
0.0,0.0,11,4,2017-09-08,7,7.734293858970676e-05
0.0,0.0,11,4,2017-09-15,6,6.62939473626058e-05
0.0,0.0,11,4,2017-09-22,4,4.419596490840386e-05
0.0,0.0,11,4,2017-09-29,7,7.734293858970676e-05
0.0,0.0,11,4,2017-10-06,8,8.839192981680772e-05
0.0,0.0,11,4,2017-10-13,7,7.734293858970676e-05
0.0,0.0,11,4,2017-10-20,15,0.00016573486840651449
0.0,0.0,11,4,2017-10-27,5,5.524495613550483e-05
0.0,0.0,11,5,2017-09-16,3,3.31469736813029e-05
0.0,0.0,11,5,2017-09-23,4,4.419596490840386e-05
0.0,0.0,11,5,2017-09-30,2,2.209798245420193e-05
0.0,0.0,11,5,2017-10-07,5,5.524495613550483e-05
0.0,0.0,11,5,2017-10-14,2,2.209798245420193e-05
0.0,0.0,11,5,2017-10-21,6,6.62939473626058e-05
0.0,0.0,11,5,2017-10-28,3,3.31469736813029e-05
0.0,0.0,11,6,2017-09-17,1,1.1048991227100966e-05
0.0,0.0,11,6,2017-09-24,3,3.31469736813029e-05
0.0,0.0,11,6,2017-10-08,1,1.1048991227100966e-05
0.0,0.0,11,6,2017-10-15,1,1.1048991227100966e-05
0.0,0.0,11,6,2017-10-29,3,3.31469736813029e-05
0.0,0.0,12,0,2017-09-11,5,5.524495613550483e-05
0.0,0.0,12,0,2017-09-18,3,3.31469736813029e-05
0.0,0.0,12,0,2017-09-25,7,7.734293858970676e-05
0.0,0.0,12,0,2017-10-09,4,4.419596490840386e-05
0.0,0.0,12,0,2017-10-16,8,8.839192981680772e-05
0.0,0.0,12,0,2017-10-23,3,3.31469736813029e-05
0.0,0.0,12,0,2017-10-30,5,5.524495613550483e-05
0.0,0.0,12,1,2017-09-05,1,1.1048991227100966e-05
0.0,0.0,12,1,2017-09-12,7,7.734293858970676e-05
0.0,0.0,12,1,2017-09-19,3,3.31469736813029e-05
0.0,0.0,12,1,2017-09-26,8,8.839192981680772e-05
0.0,0.0,12,1,2017-10-03,8,8.839192981680772e-05
0.0,0.0,12,1,2017-10-10,7,7.734293858970676e-05
0.0,0.0,12,1,2017-10-17,10,0.00011048991227100966
0.0,0.0,12,1,2017-10-24,9,9.944092104390869e-05
0.0,0.0,12,1,2017-10-31,8,8.839192981680772e-05
0.0,0.0,12,2,2017-09-06,11,0.00012153890349811062
0.0,0.0,12,2,2017-09-13,8,8.839192981680772e-05
0.0,0.0,12,2,2017-09-20,6,6.62939473626058e-05
0.0,0.0,12,2,2017-09-27,10,0.00011048991227100966
0.0,0.0,12,2,2017-10-04,3,3.31469736813029e-05
0.0,0.0,12,2,2017-10-11,7,7.734293858970676e-05
0.0,0.0,12,2,2017-10-18,3,3.31469736813029e-05
0.0,0.0,12,2,2017-10-25,3,3.31469736813029e-05
0.0,0.0,12,3,2017-09-07,6,6.62939473626058e-05
0.0,0.0,12,3,2017-09-14,10,0.00011048991227100966
0.0,0.0,12,3,2017-09-21,4,4.419596490840386e-05
0.0,0.0,12,3,2017-09-28,7,7.734293858970676e-05
0.0,0.0,12,3,2017-10-05,3,3.31469736813029e-05
0.0,0.0,12,3,2017-10-12,7,7.734293858970676e-05
0.0,0.0,12,3,2017-10-19,11,0.00012153890349811062
0.0,0.0,12,3,2017-10-26,12,0.0001325878947252116
0.0,0.0,12,4,2017-09-01,4,4.419596490840386e-05
0.0,0.0,12,4,2017-09-08,10,0.00011048991227100966
0.0,0.0,12,4,2017-09-15,9,9.944092104390869e-05
0.0,0.0,12,4,2017-09-22,6,6.62939473626058e-05
0.0,0.0,12,4,2017-09-29,5,5.524495613550483e-05
0.0,0.0,12,4,2017-10-06,11,0.00012153890349811062
0.0,0.0,12,4,2017-10-13,5,5.524495613550483e-05
0.0,0.0,12,4,2017-10-20,7,7.734293858970676e-05
0.0,0.0,12,4,2017-10-27,6,6.62939473626058e-05
0.0,0.0,12,5,2017-09-09,3,3.31469736813029e-05
0.0,0.0,12,5,2017-09-16,2,2.209798245420193e-05
